,Store ID,City,State,Sales Region,New Expansion,Marketing Spend,Revenue,Profit,ROMS,ROMS%
0,1,Peoria,Arizona,Region 2,Old,2601,48610,46009,1768.9,17.689
1,2,Midland,Texas,Region 2,Old,2727,45689,42962,1575.43,15.7543
2,3,Spokane,Washington,Region 2,Old,2768,49554,46786,1690.25,16.9025
3,4,Denton,Texas,Region 2,Old,2759,38284,35525,1287.6,12.876
4,5,Overland Park,Kansas,Region 2,Old,2869,59887,57018,1987.38,19.873800000000003
5,6,Yonkers,New York,Region 1,Old,3080,53827,50747,1647.63,16.476300000000002
6,7,Birmingham,Alabama,Region 1,Old,3110,60338,57228,1840.13,18.401300000000003
7,8,Antioch,California,Region 2,Old,2593,19569,16976,654.69,6.546900000000001
8,9,Worcester,Massachusetts,Region 1,Old,2675,59840,57165,2137.01,21.3701
9,10,Rochester,New York,Region 1,Old,2984,64906,61922,2075.13,20.7513
10,11,Rialto,California,Region 2,Old,2541,16860,14319,563.52,5.6352
11,12,Santa Maria,California,Region 2,Old,2651,21988,19337,729.42,7.2942
12,13,Las Cruces,New Mexico,Region 2,Old,2895,19888,16993,586.98,5.869800000000001
13,14,Jackson,Mississippi,Region 1,Old,3466,54701,51235,1478.22,14.7822
14,15,Hillsboro,Oregon,Region 2,Old,2686,18471,15785,587.68,5.876799999999999
15,16,Temecula,California,Region 2,Old,2795,16690,13895,497.14,4.9714
16,17,Tallahassee,Florida,Region 1,Old,2737,47729,44992,1643.84,16.438399999999998
17,18,Fontana,California,Region 2,Old,3085,63027,59942,1943.01,19.4301
18,19,Kent,Washington,Region 2,Old,2894,43183,40289,1392.16,13.921600000000002
19,20,Broken Arrow,Oklahoma,Region 2,Old,2765,19120,16355,591.5,5.915
20,21,Concord,California,Region 2,Old,2521,38178,35657,1414.4,14.144
21,22,Modesto,California,Region 2,Old,3077,56836,53759,1747.12,17.4712
22,23,Montgomery,Alabama,Region 1,Old,3287,52114,48827,1485.46,14.8546
23,24,Burbank,California,Region 2,Old,3679,20123,16444,446.97,4.4697000000000005
24,25,Elk Grove,California,Region 2,Old,2918,49856,46938,1608.57,16.0857
